Model,Engine_Size,Mileage,Doors,Owner_Count,Price,Brand_BMW,Brand_Chevrolet,Brand_Ford,Brand_Honda,Brand_Hyundai,Brand_Kia,Brand_Mercedes,Brand_Toyota,Brand_Volkswagen,Fuel_Type_Electric,Fuel_Type_Hybrid,Fuel_Type_Petrol,Transmission_Manual,Transmission_Semi-Automatic,Car_Age
C-Class,0.42500000000000004,0.4910776801968512,5,2,0.30384638979203726,False,False,False,False,False,False,True,False,False,False,True,False,True,False,18
GLA,0.75,0.46758157120851424,4,5,0.4045150604257407,False,False,False,False,False,False,True,False,False,False,False,False,True,False,14
Passat,0.55,0.5185514900540807,5,4,0.34899699404944484,False,False,False,False,False,False,False,False,True,True,False,False,False,True,20
Golf,0.75,0.7908956328645448,4,5,0.14446966443776457,False,False,False,False,False,False,False,False,True,False,True,False,True,False,25
Fiesta,0.75,0.9079894105800842,3,3,0.13815103367891543,False,False,True,False,False,False,False,False,False,False,True,False,False,True,23
Optima,0.8999999999999999,0.549656243956762,2,4,0.3559290841052696,False,False,False,False,False,True,False,False,False,False,False,True,True,False,17
Tucson,0.44999999999999996,0.5345523169357366,4,3,0.4351266793448254,False,False,False,False,True,False,False,False,False,False,False,True,True,False,7
Elantra,0.125,0.10258667253485908,5,1,0.31188270658241823,False,False,False,False,True,False,False,False,False,False,False,False,True,False,18
3 Series,0.22499999999999998,0.022405825514633805,2,1,0.801484571498681,True,False,False,False,False,False,False,False,False,True,False,False,False,False,6
Camry,0.9750000000000001,0.07732677162728976,2,4,0.5910680326360346,False,False,False,False,False,False,False,True,False,False,True,False,True,False,18
Sportage,0.42500000000000004,0.8083134948419922,2,5,0.46316176921661245,False,False,False,False,False,True,False,False,False,False,True,False,False,False,8
Sonata,0.07500000000000001,0.5071251858816626,5,5,0.48812956260352125,False,False,False,False,True,False,False,False,False,False,True,False,False,False,8
CR-V,0.6,0.8297790758930655,5,2,0.5289246058524016,False,False,False,True,False,False,False,False,False,False,False,False,False,False,3
GLA,0.32499999999999996,0.2548429258273818,3,5,0.427581129992025,False,False,False,False,False,False,True,False,False,True,False,False,True,False,18
X5,0.725,0.006651729449656911,3,2,0.7397705662229311,True,False,False,False,False,False,False,False,False,False,True,False,False,True,8
Sonata,0.25,0.40524536379458664,4,4,0.5869578553462977,False,False,False,False,True,False,False,False,False,False,True,False,False,False,7
Golf,0.625,0.4649608898313562,2,5,0.5956689773633519,False,False,False,False,False,False,False,False,True,False,False,True,False,True,2
Fiesta,0.875,0.17692266655997227,3,2,0.5912520704251273,False,False,True,False,False,False,False,False,False,True,False,False,True,False,18
Tiguan,0.175,0.651969512073139,2,5,0.453223728605607,False,False,False,False,False,False,False,False,True,False,False,True,False,False,5
A4,0.95,0.47287294696621124,3,2,0.38420955769584686,False,False,False,False,False,False,False,False,False,False,True,False,False,True,21
Civic,0.8999999999999999,0.6380725655337054,3,4,0.5442610882767929,False,False,False,True,False,False,False,False,False,False,False,True,True,False,5
Tucson,0.15000000000000002,0.8652516320910103,2,4,0.3072817618551009,False,False,False,False,True,False,False,False,False,True,False,False,True,False,10
C-Class,0.7749999999999999,0.6575843052526991,3,1,0.5064106496533954,False,False,False,False,False,False,True,False,False,False,False,True,False,False,10
Passat,0.7,0.9088496342382353,4,5,0.2789399423348261,False,False,False,False,False,False,False,False,True,True,False,False,True,False,18
Focus,0.025000000000000022,0.9818919585758964,4,1,0.07416722900435557,False,False,True,False,False,False,False,False,False,False,False,False,True,False,12
Sportage,0.475,0.8628510079287282,4,5,0.00754554935280044,False,False,False,False,False,True,False,False,False,False,False,False,True,False,24
Corolla,0.7749999999999999,0.0569314688485673,5,5,0.7090362554444513,False,False,False,False,False,False,False,True,False,False,False,True,False,False,11
Optima,0.8999999999999999,0.6577776888657717,3,1,0.4817495859149745,False,False,False,False,False,True,False,False,False,False,False,False,True,False,8
X5,0.8,0.4328658784617334,3,4,0.4479479786516165,True,False,False,False,False,False,False,False,False,False,False,True,False,False,18
E-Class,0.2,0.8709664512773321,3,4,0.12115821115269002,False,False,False,False,False,False,True,False,False,False,False,False,False,True,14
Q5,0.375,0.4062056134594995,5,5,0.5497822219495736,False,False,False,False,False,False,False,False,False,True,False,False,False,True,9
3 Series,0.4,0.359770206920466,4,2,0.35832157536347464,True,False,False,False,False,False,False,False,False,False,False,True,True,False,14
Passat,0.925,0.6799601229653043,5,3,0.4613213913256855,False,False,False,False,False,False,False,False,True,False,False,True,False,False,14
5 Series,0.5,0.05746494088463001,5,5,0.5799644193607754,True,False,False,False,False,False,False,False,False,True,False,False,True,False,16
A3,0.7,0.9171851348017152,2,5,0.5519293294889884,False,False,False,False,False,False,False,False,False,True,False,False,False,True,3
Corolla,0.44999999999999996,0.6778062296197012,3,3,0.40690755168394577,False,False,False,False,False,False,False,True,False,False,True,False,False,True,9
Corolla,0.44999999999999996,0.6341282066670667,5,2,0.4781915219925158,False,False,False,False,False,False,False,True,False,False,True,False,False,False,11
Explorer,1.0,0.6273964564120005,5,3,0.6586099012330532,False,False,True,False,False,False,False,False,False,True,False,False,False,False,12
A4,0.25,0.7607944732297064,3,4,0.21685786148089073,False,False,False,False,False,False,False,False,False,False,True,False,True,False,15
5 Series,0.32499999999999996,0.2208540887297364,2,1,0.20698116679958287,True,False,False,False,False,False,False,False,False,False,False,False,False,True,24
Camry,0.875,0.5423776848647315,4,2,0.7328384761671063,False,False,False,False,False,False,False,True,False,True,False,False,False,True,3
Malibu,0.30000000000000004,0.6382892885483559,2,4,0.12085148150420219,False,True,False,False,False,False,False,False,False,False,False,False,True,False,20
Accord,0.75,0.029784410613426158,5,1,0.38157168271885156,False,False,False,True,False,False,False,False,False,False,False,False,True,False,24
Elantra,0.4,0.037303032121684974,5,5,0.5567143120053984,False,False,False,False,True,False,False,False,False,False,True,False,True,False,13
Accord,0.7,0.7868612505918205,3,2,0.2502300472363659,False,False,False,True,False,False,False,False,False,True,False,False,False,True,22
Equinox,0.725,0.04437153659951588,5,1,0.7627139439298203,False,True,False,False,False,False,False,False,False,False,True,False,False,True,6
C-Class,0.8999999999999999,0.9139442921826342,2,3,0.6206367707502607,False,False,False,False,False,False,True,False,False,True,False,False,False,True,2
Passat,0.6,0.028797487346710147,4,3,0.5107662106619226,False,False,False,False,False,False,False,False,True,False,False,False,True,False,15
3 Series,0.32499999999999996,0.33081267796293706,3,3,0.6021102999815963,True,False,False,False,False,False,False,False,False,True,False,False,False,True,7
Fiesta,0.625,0.5594254506171604,2,3,0.43819397582970365,False,False,True,False,False,False,False,False,False,False,True,False,False,True,12
CR-V,0.5,0.6032001653763311,4,3,0.4834672719465063,False,False,False,True,False,False,False,False,False,False,True,False,False,True,7
C-Class,0.75,0.22113082734844391,3,2,0.6240721428133243,False,False,False,False,False,False,True,False,False,False,False,True,True,False,7
Civic,0.09999999999999998,0.9302618680857023,5,3,0.001165572664253725,False,False,False,True,False,False,False,False,False,False,False,True,True,False,18
Equinox,0.44999999999999996,0.21140496529097566,4,5,0.4619961965523588,False,True,False,False,False,False,False,False,False,False,False,True,True,False,12
3 Series,0.275,0.6392295330119164,5,1,0.28004416906938223,True,False,False,False,False,False,False,False,False,False,False,True,True,False,11
E-Class,0.725,0.1936570174912144,3,2,0.7813631065578799,False,False,False,False,False,False,True,False,False,False,True,False,False,True,2
X5,0.875,0.2892018591500457,2,5,0.3351941598674928,True,False,False,False,False,False,False,False,False,False,False,False,True,False,23
Golf,0.7,0.8585432212375217,3,3,0.5060425740752101,False,False,False,False,False,False,False,False,True,False,False,False,False,False,5
Corolla,0.75,0.7102746714145678,4,4,0.35200294460462545,False,False,False,False,False,False,False,True,False,False,False,False,True,False,12
3 Series,0.22499999999999998,0.39316222217776625,2,4,0.41353291209128273,True,False,False,False,False,False,False,False,False,False,False,True,False,True,8
Tiguan,0.875,0.5961950107027827,3,4,0.4553708361450217,False,False,False,False,False,False,False,False,True,True,False,False,False,True,17
Corolla,0.725,0.9388807756683404,2,3,0.05932151401754493,False,False,False,False,False,False,False,True,False,False,False,False,False,True,23
Malibu,0.09999999999999998,0.43831396163002384,3,5,0.3846389792037298,False,True,False,False,False,False,False,False,False,False,False,False,False,False,12
A4,0.725,0.07126519561752723,5,3,0.7037605054904608,False,False,False,False,False,False,False,False,False,True,False,False,True,False,12
C-Class,0.675,0.4950087022625883,3,5,0.5416845592294951,False,False,False,False,False,False,True,False,False,False,False,True,False,True,5
Equinox,0.525,0.6314108334833723,5,4,0.5221765535856696,False,True,False,False,False,False,False,False,False,True,False,False,True,False,8
Tiguan,0.625,0.5970952447636385,2,3,0.27096497147414267,False,False,False,False,False,False,False,False,True,False,False,True,False,True,17
Passat,0.925,0.7346610118630844,5,1,0.422796147475615,False,False,False,False,False,False,False,False,True,False,False,False,True,False,10
Optima,0.925,0.4406979147911791,2,1,0.6230292620084658,False,False,False,False,False,True,False,False,False,False,False,True,True,False,5
Impala,0.2,0.50421109488467,4,1,0.31133059321514023,False,True,False,False,False,False,False,False,False,False,False,False,False,False,16
Impala,0.25,0.6157267556231286,5,1,0.19054045764063557,False,True,False,False,False,False,False,False,False,False,False,True,True,False,16
Golf,0.7749999999999999,0.10861824074259309,3,4,0.4507085454880069,False,False,False,False,False,False,False,False,True,False,False,True,False,False,24
A3,0.55,0.8455064983562393,2,4,0.3758665112569781,False,False,False,False,False,False,False,False,False,True,False,False,True,False,12
RAV4,0.825,0.6241556137929195,5,3,0.5922949512299859,False,False,False,False,False,False,False,True,False,False,True,False,True,False,5
E-Class,0.5,0.7749114769840159,3,3,0.1626280596282437,False,False,False,False,False,False,True,False,False,False,True,False,True,False,21
Camry,0.925,0.38047892452037535,5,4,0.6267713637200172,False,False,False,False,False,False,False,True,False,False,False,True,True,False,6
RAV4,0.07500000000000001,0.2647755082988244,4,4,0.3994233482608429,False,False,False,False,False,False,False,True,False,True,False,False,False,False,21
Accord,0.30000000000000004,0.4260307679996799,5,5,0.456597754738973,False,False,False,True,False,False,False,False,False,False,False,False,True,False,6
Camry,0.125,0.0769866832042998,2,1,0.3212686338261457,False,False,False,False,False,False,False,True,False,False,False,True,False,False,23
Optima,0.725,0.08970665706417003,3,3,0.6110668057174407,False,False,False,False,False,True,False,False,False,False,False,True,False,False,15
RAV4,0.275,0.9667246817505885,4,3,0.28832586957855344,False,False,False,False,False,False,False,True,False,False,False,True,True,False,4
Focus,0.55,0.14016644327525157,2,3,0.29188393350101227,False,False,True,False,False,False,False,False,False,False,False,True,True,False,24
Sonata,0.625,0.7788324964490767,4,2,0.5108275565916202,False,False,False,False,True,False,False,False,False,True,False,False,True,False,7
Explorer,0.7749999999999999,0.22354812251185308,4,3,0.9360161953254402,False,False,True,False,False,False,False,False,False,True,False,False,False,False,2
X5,0.375,0.8547388987803496,2,1,0.40316544997239434,True,False,False,False,False,False,False,False,False,True,False,False,True,False,8
C-Class,0.22499999999999998,0.5318749541547468,2,4,0.23366664621802344,False,False,False,False,False,False,True,False,False,False,False,True,False,True,15
E-Class,0.7,0.019511739718993604,5,5,0.7350469296362186,False,False,False,False,False,False,True,False,False,True,False,False,False,True,11
Tucson,0.9750000000000001,0.11075879728729471,2,2,0.5787988466965217,False,False,False,False,True,False,False,False,False,False,True,False,False,False,23
Impala,0.95,0.6880322217109782,4,4,0.4093000429421507,False,True,False,False,False,False,False,False,False,False,False,True,True,False,12
Civic,0.75,0.5861790732257053,3,5,0.544935893503466,False,False,False,True,False,False,False,False,False,False,False,False,False,False,9
Tucson,0.65,0.5236294769973526,2,1,0.24894178271271702,False,False,False,False,True,False,False,False,False,False,False,True,False,True,20
3 Series,0.475,0.439250871893359,2,3,0.6357892153855592,True,False,False,False,False,False,False,False,False,True,False,False,False,False,10
Explorer,0.30000000000000004,0.06203279519341696,3,5,0.25930924483160545,False,False,True,False,False,False,False,False,False,False,False,True,True,False,24
A4,0.275,0.18170390968318428,3,5,0.5588000736151156,False,False,False,False,False,False,False,False,False,False,False,False,False,False,10
GLA,0.09999999999999998,0.7710838151252659,3,3,0.2928654683761732,False,False,False,False,False,False,True,False,False,True,False,False,False,True,12
Optima,0.675,0.5559812217843306,2,2,0.2738482301699282,False,False,False,False,False,True,False,False,False,True,False,False,True,False,25
A3,0.75,0.054270777068704534,5,2,0.390957609962579,False,False,False,False,False,False,False,False,False,False,False,False,True,False,23
Q5,0.475,0.8428824827788558,3,1,0.33390589534384396,False,False,False,False,False,False,False,False,False,False,True,False,False,True,10
Sportage,0.04999999999999999,0.8988637045631864,3,4,0.15379424575179437,False,False,False,False,False,True,False,False,False,False,True,False,False,False,18
Sportage,0.44999999999999996,0.8824694420549343,2,5,0.0985215630942887,False,False,False,False,False,True,False,False,False,True,False,False,False,True,25
CR-V,0.75,0.9599195790905636,5,2,0.2785718667566407,False,False,False,True,False,False,False,False,False,False,False,True,True,False,11
A3,0.2,0.14394075793039524,5,2,0.2966689160174223,False,False,False,False,False,False,False,False,False,False,False,True,False,False,24
RAV4,0.875,0.9333960162975707,3,1,0.07974970860683395,False,False,False,False,False,False,False,True,False,False,False,False,False,True,24
Sonata,0.0,0.9559818886243756,2,5,0.003987485430341692,False,False,False,False,True,False,False,False,False,False,False,True,True,False,16
C-Class,0.32499999999999996,0.002867412193837064,3,2,0.5939512913318201,False,False,False,False,False,False,True,False,False,True,False,False,False,True,14
Civic,0.625,0.31090750261734723,2,4,0.5296607570087725,False,False,False,True,False,False,False,False,False,False,True,False,False,True,12
X5,0.675,0.3698361574009243,3,2,0.29329488988405616,True,False,False,False,False,False,False,False,False,False,False,False,False,True,21
CR-V,0.04999999999999999,0.5560879161915431,5,2,0.32899822096803877,False,False,False,True,False,False,False,False,False,False,False,True,True,False,7
Q5,0.7,0.6201945839251538,4,3,0.6305748113612661,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3
Fiesta,0.0,0.2293729703056128,2,3,0.2590638611128152,False,False,True,False,False,False,False,False,False,False,True,False,False,True,20
Impala,0.675,0.5239895706216949,5,2,0.4942028096435801,False,True,False,False,False,False,False,False,False,False,False,True,False,True,7
C-Class,0.725,0.32450103693627014,3,3,0.3774615054291147,False,False,False,False,False,False,True,False,False,False,False,True,False,True,18
Passat,0.625,0.9051420035875994,5,4,0.30488927059689586,False,False,False,False,False,False,False,False,True,False,False,False,True,False,9
RAV4,0.825,0.7516187542094278,4,5,0.4778847923440279,False,False,False,False,False,False,False,True,False,True,False,False,False,True,12
Optima,0.7,0.17009422449836958,5,2,0.575363474633458,False,False,False,False,False,True,False,False,False,False,False,True,False,False,15
Golf,0.8,0.025069851494721962,2,5,0.7207533280166861,False,False,False,False,False,False,False,False,True,True,False,False,False,True,13
Equinox,0.4,0.8815158607904722,3,1,0.1908471872891234,False,True,False,False,False,False,False,False,False,False,True,False,False,True,16
X5,0.825,0.5131134094864664,5,2,0.4245751794368443,True,False,False,False,False,False,False,False,False,False,False,True,True,False,13
CR-V,0.175,0.38449663579197263,2,5,0.2756272621311576,False,False,False,True,False,False,False,False,False,False,False,True,True,False,15
Rio,0.475,0.3559458792619415,3,2,0.3413287528372493,False,False,False,False,False,True,False,False,False,False,False,False,False,True,16
Sonata,0.0,0.9319756470015538,2,3,0.049628857125329745,False,False,False,False,True,False,False,False,False,False,False,True,True,False,14
Sonata,0.175,0.039116837044298185,3,1,0.5867124716275075,False,False,False,False,True,False,False,False,False,False,False,True,True,False,5
Q5,0.35,0.7694067124118937,3,1,0.25053677688485365,False,False,False,False,False,False,False,False,False,False,False,True,False,True,11
Elantra,0.675,0.7216976413867605,2,1,0.6116189190847188,False,False,False,False,True,False,False,False,False,False,True,False,False,False,5
C-Class,0.4,0.44858996672468177,5,2,0.17839396356051776,False,False,False,False,False,False,True,False,False,False,False,False,False,True,22
C-Class,0.875,0.5428978200998926,2,3,0.4381326299000061,False,False,False,False,False,False,True,False,False,True,False,False,True,False,19
3 Series,0.725,0.3749474863464501,2,2,0.7146800809766272,True,False,False,False,False,False,False,False,False,False,True,False,False,True,2
Optima,0.22499999999999998,0.20256933469368701,2,1,0.698362063677075,False,False,False,False,False,True,False,False,False,True,False,False,False,False,8
CR-V,0.55,0.07166863384479966,4,4,0.6115575731550211,False,False,False,True,False,False,False,False,False,False,False,False,False,False,13
5 Series,0.275,0.6634424950487127,3,3,0.41831789460769275,True,False,False,False,False,False,False,False,False,False,False,False,False,False,8
Equinox,0.25,0.03854335460553077,5,4,0.5010735537697074,False,True,False,False,False,False,False,False,False,False,True,False,False,False,19
Equinox,0.44999999999999996,0.2665259634171552,3,2,0.49076743758051655,False,True,False,False,False,False,False,False,False,True,False,False,True,False,16
Golf,0.725,0.31845613192763456,4,2,0.7232071652045887,False,False,False,False,False,False,False,False,True,True,False,False,False,False,11
GLA,0.825,0.7663592534058855,4,2,0.4970247224096681,False,False,False,False,False,False,True,False,False,False,False,False,True,False,4
RAV4,0.07500000000000001,0.6505158007748681,4,5,0.1409116005153058,False,False,False,False,False,False,False,True,False,False,True,False,True,False,19
Impala,0.75,0.45645534505638136,5,1,0.5619900619593889,False,True,False,False,False,False,False,False,False,False,True,False,False,False,14
Focus,0.55,0.2833403351538067,3,1,0.27599533770934304,False,False,True,False,False,False,False,False,False,False,False,True,False,True,22
A4,0.42500000000000004,0.5742259654176752,3,2,0.6106987301392552,False,False,False,False,False,False,False,False,False,True,False,False,False,False,8
Golf,0.825,0.5984989430585286,2,5,0.577203852524385,False,False,False,False,False,False,False,False,True,False,False,True,False,False,8
Sonata,0.32499999999999996,0.005758163789251872,4,2,0.6480584013250721,False,False,False,False,True,False,False,False,False,True,False,False,True,False,11
GLA,0.55,0.0851288001547069,5,4,0.5636464020612232,False,False,False,False,False,False,True,False,False,True,False,False,True,False,17
5 Series,0.725,0.703973032988577,5,5,0.3911416477516717,True,False,False,False,False,False,False,False,False,False,True,False,False,False,18
A3,0.75,0.6079547348977401,5,5,0.5000920188945464,False,False,False,False,False,False,False,False,False,False,False,True,False,False,11
Sonata,0.15000000000000002,0.37650122365148275,2,5,0.36445616833323113,False,False,False,False,True,False,False,False,False,False,False,True,False,False,15
Focus,0.275,0.4069124639072826,4,4,0.3654990491380897,False,False,True,False,False,False,False,False,False,False,False,True,False,False,16
RAV4,0.625,0.9893305592787458,3,1,0.24937120422059997,False,False,False,False,False,False,False,True,False,True,False,False,False,True,17
5 Series,0.44999999999999996,0.0790105427411127,5,5,0.6027237592785719,True,False,False,False,False,False,False,False,False,False,False,True,False,True,7
Elantra,0.2,0.5383466367922326,3,5,0.04110177289736827,False,False,False,False,True,False,False,False,False,False,False,True,True,False,25
Focus,0.7749999999999999,0.3318762878348371,5,2,0.5157965768971229,False,False,True,False,False,False,False,False,False,False,False,True,False,False,16
Optima,0.22499999999999998,0.3579630703983036,5,4,0.5675725415618673,False,False,False,False,False,True,False,False,False,True,False,False,True,False,7
Golf,0.75,0.10991524463027055,5,3,0.8122201091957548,False,False,False,False,False,False,False,False,True,False,False,False,False,False,4
A3,0.175,0.5231860283673755,4,2,0.35341390098766945,False,False,False,False,False,False,False,False,False,False,False,False,True,False,8
Camry,0.30000000000000004,0.2914724495035376,4,4,0.28531991902337284,False,False,False,False,False,False,False,True,False,False,False,False,True,False,18
5 Series,0.09999999999999998,0.7736144730963384,3,2,0.09563830439850315,True,False,False,False,False,False,False,False,False,False,False,True,True,False,16
Focus,0.04999999999999999,0.38224271643960767,2,4,0.38071283970308567,False,False,True,False,False,False,False,False,False,False,True,False,False,False,16
Camry,0.95,0.990760931175439,4,2,0.4942028096435801,False,False,False,False,False,False,False,True,False,True,False,False,False,True,8
Sonata,0.7749999999999999,0.4632537793159555,4,4,0.4735905772651985,False,False,False,False,True,False,False,False,False,False,True,False,False,True,14
